epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1042,2.98803,2.28345,1.02171,0.39623,0.28507,0.25468,0.08211,2.88247,1.70783,0.9521,0.000664783,0.000664783,0.000664783
2,100.737,2.95823,1.87339,0.97755,0.36784,0.285,0.24253,0.07936,2.83329,1.77941,0.94624,0.00131827,0.00131827,0.00131827
3,148.304,2.92417,1.82056,0.96465,0.40633,0.3009,0.26771,0.08762,2.76103,2.3609,0.93614,0.00195855,0.00195855,0.00195855
4,195.701,2.8732,1.76191,0.95362,0.44648,0.33346,0.31431,0.10441,2.70102,1.54602,0.92005,0.0019406,0.0019406,0.0019406
5,244.407,2.87841,1.7548,0.94243,0.47719,0.33909,0.34781,0.12432,2.62698,1.46445,0.9127,0.0019208,0.0019208,0.0019208
6,292.052,2.8286,1.71017,0.94352,0.46497,0.32882,0.32258,0.10477,2.69442,1.51648,0.9136,0.001901,0.001901,0.001901
7,341.163,2.79147,1.68853,0.93327,0.5066,0.35819,0.36809,0.12971,2.60508,1.45008,0.90075,0.0018812,0.0018812,0.0018812
8,405.055,2.77902,1.67182,0.93329,0.47357,0.33749,0.33753,0.115,2.66042,1.47472,0.91945,0.0018614,0.0018614,0.0018614
9,452.575,2.73534,1.63826,0.92705,0.52861,0.36245,0.37975,0.13459,2.5624,1.40656,0.90055,0.0018416,0.0018416,0.0018416
10,499.711,2.72865,1.63497,0.92298,0.50674,0.36549,0.36183,0.12736,2.60567,1.61824,0.91404,0.0018218,0.0018218,0.0018218
11,546.815,2.69235,1.6018,0.92115,0.54421,0.38033,0.39965,0.14377,2.49681,1.37766,0.89586,0.001802,0.001802,0.001802
12,594.14,2.67117,1.58597,0.92238,0.55846,0.37675,0.40708,0.15223,2.49508,1.36245,0.89222,0.0017822,0.0017822,0.0017822
13,644.289,2.67519,1.58456,0.91417,0.51914,0.37249,0.38797,0.13558,2.55758,1.45027,0.89685,0.0017624,0.0017624,0.0017624
14,692.149,2.6714,1.57659,0.91483,0.54079,0.39661,0.40768,0.14803,2.49826,1.46365,0.88966,0.0017426,0.0017426,0.0017426
15,739.413,2.64704,1.55222,0.91801,0.56951,0.38877,0.41819,0.15473,2.45766,1.33446,0.89057,0.0017228,0.0017228,0.0017228
16,787.161,2.62636,1.54085,0.91067,0.52835,0.39478,0.41314,0.15316,2.47244,1.34762,0.88572,0.001703,0.001703,0.001703
17,835.267,2.62912,1.53805,0.90811,0.57486,0.39866,0.42974,0.15814,2.42848,1.33209,0.87884,0.0016832,0.0016832,0.0016832
18,882.973,2.62939,1.54649,0.91023,0.57937,0.38276,0.42055,0.15702,2.43959,1.33427,0.87755,0.0016634,0.0016634,0.0016634
19,930.529,2.61484,1.52257,0.90876,0.56415,0.39767,0.42674,0.15808,2.43001,1.33909,0.87777,0.0016436,0.0016436,0.0016436
