epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2889,2.54404,1.45528,0.89996,0.57343,0.41981,0.44739,0.16277,2.43442,1.31248,0.87708,0.000664783,0.000664783,0.000664783
2,99.5764,2.55632,1.46272,0.90032,0.55608,0.39875,0.4262,0.15435,2.45135,1.34533,0.88149,0.00131827,0.00131827,0.00131827
3,147.354,2.57809,1.49103,0.90242,0.55683,0.39029,0.4223,0.15844,2.43357,1.31763,0.88562,0.00195855,0.00195855,0.00195855
4,194.731,2.57826,1.49381,0.90166,0.56034,0.40764,0.4282,0.15843,2.4281,1.35956,0.87909,0.0019406,0.0019406,0.0019406
5,242.675,2.60806,1.5068,0.89634,0.58017,0.40047,0.43157,0.16483,2.43195,1.32579,0.88063,0.0019208,0.0019208,0.0019208
6,290.287,2.60383,1.49726,0.90433,0.5693,0.38253,0.4188,0.15465,2.45682,1.31593,0.88705,0.001901,0.001901,0.001901
7,337.893,2.5836,1.49591,0.89904,0.55523,0.4049,0.43304,0.16245,2.41786,1.31457,0.87763,0.0018812,0.0018812,0.0018812
8,385.605,2.58836,1.48784,0.89969,0.57166,0.40391,0.43723,0.16349,2.41537,1.3233,0.87915,0.0018614,0.0018614,0.0018614
9,433.382,2.55595,1.47094,0.898,0.58942,0.41426,0.44791,0.16895,2.39817,1.29279,0.87747,0.0018416,0.0018416,0.0018416
10,480.222,2.55993,1.47609,0.89556,0.57137,0.43183,0.44561,0.16759,2.38831,1.4409,0.87762,0.0018218,0.0018218,0.0018218
11,527.821,2.54169,1.45849,0.89808,0.59215,0.41121,0.45474,0.17176,2.41508,1.29419,0.87535,0.001802,0.001802,0.001802
12,575.804,2.52229,1.45265,0.89858,0.60725,0.41083,0.45389,0.17498,2.36987,1.27392,0.87706,0.0017822,0.0017822,0.0017822
13,626.145,2.53432,1.4515,0.8924,0.58784,0.4052,0.44216,0.16916,2.37597,1.28878,0.87503,0.0017624,0.0017624,0.0017624
14,674.616,2.54281,1.46038,0.89328,0.60257,0.42521,0.45768,0.17338,2.39237,1.33051,0.87842,0.0017426,0.0017426,0.0017426
15,721.839,2.52233,1.44115,0.89705,0.60386,0.41379,0.45813,0.17567,2.36701,1.2714,0.87345,0.0017228,0.0017228,0.0017228
