               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14902,            0.037657,                   0,             0.17283,             0.20618,            0.092251,            0.025003,             0.12591,            0.094252,                   0,            0.070085,           0.0033239,           0.0033239
                   1,             0.12844,            0.057539,                   0,             0.29112,             0.24787,             0.17548,            0.049884,             0.11803,             0.10744,                   0,            0.040019,           0.0065913,           0.0065913
                   2,             0.12433,            0.062908,                   0,             0.31429,             0.26834,              0.2076,            0.063368,             0.11475,             0.11344,                   0,           0.0098869,           0.0097928,           0.0097928
                   3,             0.12068,            0.066745,                   0,             0.43635,             0.32045,             0.29665,            0.090712,             0.11116,             0.11771,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.11803,             0.06868,                   0,             0.45715,             0.33612,             0.32034,             0.10143,             0.10981,             0.12083,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.11725,            0.070754,                   0,             0.48196,              0.3378,             0.33997,             0.10749,             0.10849,              0.1167,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.11615,            0.070486,                   0,             0.51045,             0.34056,             0.34377,             0.10857,             0.10796,             0.11692,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.11544,            0.070313,                   0,             0.50857,             0.35461,             0.36456,             0.11653,             0.10749,             0.11674,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.11569,            0.069528,                   0,             0.54391,             0.32935,             0.34316,             0.10727,             0.10724,             0.11872,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.11427,            0.070257,                   0,             0.53171,             0.35819,             0.37354,             0.12204,             0.10652,             0.11985,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.11409,            0.071074,                   0,             0.53273,             0.36977,             0.38152,             0.12598,             0.10607,             0.12013,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.11363,            0.071931,                   0,             0.55752,             0.36973,             0.39067,             0.13038,             0.10567,             0.12294,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.11426,            0.070465,                   0,             0.53199,             0.36602,             0.38103,             0.12637,             0.10609,             0.11815,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.11312,            0.071328,                   0,             0.56589,             0.35704,             0.38119,             0.12876,             0.10545,             0.11914,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.11308,            0.071002,                   0,             0.54815,             0.35309,             0.37884,             0.12576,             0.10618,             0.11905,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.11246,            0.072022,                   0,             0.57525,             0.37462,             0.40204,             0.13698,             0.10523,             0.11737,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.11237,             0.07204,                   0,             0.57923,             0.37743,             0.40365,             0.13712,             0.10461,             0.12008,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.11254,            0.071363,                   0,             0.57789,             0.37132,             0.40743,             0.13981,              0.1047,             0.12062,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.11236,            0.072073,                   0,             0.56396,             0.38322,             0.40761,             0.14012,             0.10422,             0.11919,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.11249,            0.072418,                   0,             0.59684,             0.38116,             0.41622,             0.14323,             0.10413,             0.11928,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.11206,            0.071633,                   0,             0.59781,             0.38302,              0.4196,             0.14233,             0.10406,             0.11913,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.11153,            0.071926,                   0,              0.5978,             0.39349,             0.42696,             0.14737,             0.10397,             0.11915,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.11147,            0.070877,                   0,             0.58573,             0.37941,             0.41337,             0.14373,             0.10385,             0.12016,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.11134,            0.071449,                   0,             0.58418,             0.38478,             0.41244,             0.14024,             0.10354,             0.12005,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.11152,            0.071852,                   0,             0.58815,             0.39805,             0.42607,             0.14701,             0.10369,              0.1195,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.11121,            0.071259,                   0,              0.6007,             0.38847,             0.42366,              0.1483,             0.10356,             0.11918,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.11085,            0.071304,                   0,             0.59948,             0.38907,             0.42667,             0.14952,              0.1034,             0.12029,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.11098,            0.071257,                   0,             0.59175,             0.39512,             0.42959,             0.15123,             0.10334,             0.11871,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.11095,            0.071647,                   0,             0.60003,             0.38474,             0.41944,             0.14379,             0.10364,             0.11925,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.11093,            0.071388,                   0,             0.60667,              0.4046,             0.43343,             0.15138,             0.10299,             0.11971,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.11052,            0.071402,                   0,             0.60256,             0.39128,             0.42901,             0.15017,             0.10312,             0.12037,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.11043,             0.07136,                   0,             0.60578,             0.41487,             0.44506,             0.15663,              0.1029,             0.11919,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.10979,             0.07139,                   0,             0.59974,              0.3998,             0.43113,             0.15042,              0.1031,             0.11944,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.11021,            0.071413,                   0,             0.60669,             0.39645,             0.43271,             0.15037,             0.10317,             0.11958,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.10991,            0.071033,                   0,              0.5968,             0.40239,             0.43693,              0.1533,             0.10277,             0.11986,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.11051,            0.071088,                   0,             0.59371,             0.40581,             0.43681,             0.15496,             0.10282,              0.1191,                   0,            0.006634,            0.006634,            0.006634
                  36,              0.1105,             0.07024,                   0,                0.61,             0.40574,             0.44173,             0.15713,             0.10253,             0.12036,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.11065,            0.070812,                   0,             0.61028,             0.40574,             0.44268,             0.15872,             0.10255,             0.11927,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.11009,            0.072301,                   0,             0.60566,             0.40216,             0.44101,             0.15836,             0.10238,             0.12002,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.10984,            0.071107,                   0,             0.61692,             0.40498,             0.44185,             0.15603,             0.10251,             0.11991,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.10949,            0.070589,                   0,             0.61526,              0.3947,             0.43546,             0.15375,             0.10246,             0.12128,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.10957,             0.07025,                   0,             0.62525,             0.40035,             0.44025,             0.15642,             0.10235,              0.1197,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.10945,             0.07035,                   0,             0.61592,             0.40482,              0.4426,               0.157,             0.10228,             0.11998,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.10946,            0.070427,                   0,             0.61742,             0.41015,              0.4495,              0.1618,             0.10218,             0.11966,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.10974,            0.070952,                   0,              0.6166,             0.41687,             0.45316,             0.16028,             0.10216,             0.11939,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.10957,            0.071995,                   0,             0.61197,             0.41281,             0.44908,             0.16182,             0.10222,             0.11894,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.10941,            0.070354,                   0,             0.62332,             0.40376,             0.44573,             0.16141,             0.10191,             0.12014,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.10913,            0.070298,                   0,             0.61218,             0.40749,             0.44776,             0.16072,              0.1021,             0.12029,                   0,            0.005446,            0.005446,            0.005446
                  48,               0.109,            0.070811,                   0,             0.61806,             0.40901,             0.44816,             0.16158,             0.10203,             0.11959,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.10914,            0.070511,                   0,             0.62023,             0.40992,             0.44698,             0.15865,             0.10196,              0.1198,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.10944,            0.071083,                   0,             0.60427,             0.41418,             0.45109,             0.16163,             0.10198,             0.12019,                   0,            0.005149,            0.005149,            0.005149
                  51,               0.109,            0.070649,                   0,             0.61337,             0.41296,             0.44966,             0.16176,               0.102,             0.12014,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.10902,            0.070332,                   0,             0.62797,             0.40186,             0.44942,             0.16063,             0.10184,             0.12052,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.10925,            0.070748,                   0,             0.62468,             0.41332,             0.45399,             0.16157,              0.1018,                0.12,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.10901,            0.070843,                   0,             0.62422,             0.41989,             0.46289,             0.16784,             0.10154,                0.12,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.10896,            0.070719,                   0,             0.62702,             0.40863,             0.45002,             0.16234,             0.10183,             0.12029,                   0,            0.004654,            0.004654,            0.004654
                  56,              0.1087,            0.070851,                   0,             0.62037,             0.41981,             0.45887,              0.1667,             0.10163,             0.12021,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.10882,            0.070896,                   0,             0.62552,             0.41784,             0.45871,             0.16519,             0.10165,             0.11991,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.10887,            0.070885,                   0,              0.6251,             0.41061,             0.45212,             0.16369,             0.10173,             0.12073,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.10865,            0.070413,                   0,             0.64304,             0.40842,             0.45499,             0.16586,             0.10158,             0.12013,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.10884,            0.070107,                   0,             0.63651,             0.41106,             0.45606,             0.16652,             0.10156,             0.12006,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.10831,            0.070156,                   0,             0.62481,              0.4173,             0.45775,             0.16623,             0.10157,             0.12037,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.10853,            0.070558,                   0,             0.62619,             0.42187,             0.46293,             0.16836,             0.10144,             0.12008,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.10834,            0.070061,                   0,             0.62747,             0.41745,             0.45842,             0.16576,             0.10156,             0.12055,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.10809,            0.070054,                   0,             0.63888,             0.40783,             0.45622,             0.16444,             0.10154,             0.12067,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.10864,             0.07017,                   0,             0.62219,             0.41509,             0.45874,             0.16475,             0.10148,             0.12061,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.10812,             0.06987,                   0,              0.6212,             0.42134,             0.46277,             0.16973,             0.10138,                0.12,                   0,            0.003565,            0.003565,            0.003565
                  67,              0.1079,             0.06968,                   0,             0.62071,             0.42095,             0.46146,             0.16851,             0.10142,             0.11985,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.10846,            0.069315,                   0,             0.63231,             0.41372,             0.45809,             0.16564,             0.10147,              0.1201,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.10722,            0.068738,                   0,              0.6234,              0.4243,             0.46361,             0.16911,             0.10132,             0.12037,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.10772,            0.069241,                   0,             0.63377,             0.41502,             0.46311,             0.16902,             0.10123,             0.12049,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.10794,            0.070045,                   0,             0.62893,             0.41852,             0.46413,             0.16976,             0.10124,             0.12016,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.10767,            0.069929,                   0,             0.63025,             0.41433,             0.46033,             0.16727,             0.10128,             0.12046,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.1076,            0.068951,                   0,             0.62756,             0.42279,             0.46477,             0.16922,             0.10126,             0.12063,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.10737,            0.070797,                   0,             0.62898,             0.41943,             0.46297,             0.16907,             0.10117,             0.12034,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.10811,            0.069936,                   0,             0.63545,             0.41801,             0.46515,             0.16954,             0.10118,             0.12061,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.10743,            0.067675,                   0,             0.61721,             0.42751,             0.46641,             0.16988,             0.10108,             0.12027,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.10741,            0.069987,                   0,             0.63345,             0.42336,             0.46578,             0.17071,             0.10108,             0.12048,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.10738,            0.069592,                   0,              0.6325,             0.42498,             0.46713,             0.17043,             0.10104,             0.12048,                   0,            0.002377,            0.002377,            0.002377
                  79,              0.1077,            0.070513,                   0,             0.63228,             0.41753,             0.46292,             0.16914,             0.10113,             0.12057,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.10705,            0.069883,                   0,             0.64365,             0.41799,             0.46743,             0.17037,             0.10112,              0.1207,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.10717,            0.070071,                   0,             0.64328,             0.41707,             0.46494,             0.17022,             0.10108,             0.12053,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.10738,            0.070155,                   0,             0.63901,             0.42149,              0.4674,              0.1715,               0.101,             0.12061,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.10704,            0.067947,                   0,             0.63289,             0.42514,             0.46803,             0.17127,             0.10103,             0.12052,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.10679,            0.069614,                   0,             0.63206,             0.42018,             0.46435,             0.17013,             0.10108,             0.12065,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.10693,            0.068442,                   0,              0.6356,             0.41852,             0.46687,             0.17137,             0.10098,             0.12086,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.10705,             0.06924,                   0,              0.6357,             0.41981,             0.46615,             0.17036,             0.10097,             0.12079,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.10678,             0.06874,                   0,             0.63785,             0.41982,             0.46485,              0.1706,             0.10095,             0.12071,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.10683,            0.069557,                   0,             0.62535,             0.42884,             0.46693,             0.17152,             0.10091,             0.12108,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.10688,             0.06864,                   0,              0.6382,             0.42085,             0.46629,             0.17163,             0.10095,             0.12128,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.10737,            0.068822,                   0,             0.63847,             0.42194,             0.46676,             0.17176,             0.10094,             0.12096,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.10682,            0.068855,                   0,             0.64106,             0.42308,             0.46796,             0.17197,             0.10095,             0.12116,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.10704,            0.069109,                   0,              0.6371,               0.424,             0.46783,             0.17215,             0.10095,             0.12086,                   0,            0.000991,            0.000991,            0.000991
                  93,               0.106,            0.069455,                   0,             0.63689,             0.42255,             0.46844,              0.1718,             0.10092,              0.1212,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.10673,            0.068804,                   0,             0.63702,             0.42263,             0.46757,             0.17235,             0.10093,             0.12102,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.10628,             0.06812,                   0,             0.63988,             0.42055,              0.4672,             0.17243,             0.10095,             0.12127,                   0,            0.000694,            0.000694,            0.000694
                  96,              0.1061,            0.068443,                   0,             0.64339,             0.41974,             0.46837,             0.17198,             0.10094,              0.1212,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.10662,            0.068994,                   0,             0.64536,             0.41943,             0.46769,             0.17245,             0.10097,             0.12115,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.10602,            0.068608,                   0,             0.63933,             0.41935,             0.46606,             0.17223,             0.10095,              0.1213,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.10614,            0.069111,                   0,             0.64226,             0.42019,             0.46794,             0.17279,             0.10094,             0.12134,                   0,            0.000298,            0.000298,            0.000298
